"Map","Date","Duration","Friends","Score","Result","Player","Ping","Kills","Assists","Deaths","MVP","HSP","Score"
"Cache","2020-09-22 02:14:20 GMT","49:40","3","16 : 14","won","mancomeister","31","42","3","17","8","11%","91"
"Cache","2020-09-22 02:14:20 GMT","49:40","3","16 : 14","won","Izze - www.twitch.tv/izzelas","32","32","2","19","5","43%","69"
"Cache","2020-09-22 02:14:20 GMT","49:40","3","16 : 14","won","Barbameister","34","15","13","22","1","26%","51"
"Cache","2020-09-22 02:14:20 GMT","49:40","3","16 : 14","won","Houzen","36","12","7","20","0","58%","31"
"Cache","2020-09-22 02:14:20 GMT","49:40","3","16 : 14","won","Tablon James","31","11","4","20","2","27%","28"
"Dust II","2020-09-20 03:53:32 GMT","42:29","3","16 : 11","won","mancomeister","31","34","10","18","6","47%","80"
"Dust II","2020-09-20 03:53:32 GMT","42:29","3","16 : 11","won","marian_pm","34","26","6","20","6","38%","71"
"Dust II","2020-09-20 03:53:32 GMT","42:29","3","16 : 11","won","Tablon James","30","25","4","21","2","40%","62"
"Dust II","2020-09-20 03:53:32 GMT","42:29","3","16 : 11","won","Gerardo Sofovich","18","9","5","20","1","55%","32"
"Dust II","2020-09-20 03:53:32 GMT","42:29","3","16 : 11","won","Barbameister","31","13","3","22","1","28%","31"
"Inferno","2020-09-20 02:55:32 GMT","48:02","3","16 : 11","won","mancomeister","34","39","4","14","7","28%","91"
"Inferno","2020-09-20 02:55:32 GMT","48:02","3","16 : 11","won","Barbameister","31","20","8","14","5","35%","56"
"Inferno","2020-09-20 02:55:32 GMT","48:02","3","16 : 11","won","Tablon James","31","22","4","14","4","22%","53"
"Inferno","2020-09-20 02:55:32 GMT","48:02","3","16 : 11","won","marian_pm","34","12","6","16","0","33%","34"
"Inferno","2020-09-20 02:55:32 GMT","48:02","3","16 : 11","won","Gerardo Sofovich","19","7","1","20","0","28%","21"
"Inferno","2020-09-19 05:28:36 GMT","35:01","2","16 : 6","won","paper","43","26","6","11","5","50%","64"
"Inferno","2020-09-19 05:28:36 GMT","35:01","2","16 : 6","won","9z_guisn98","31","18","8","16","4","38%","48"
"Inferno","2020-09-19 05:28:36 GMT","35:01","2","16 : 6","won","Tablon James","31","16","3","14","2","37%","42"
"Inferno","2020-09-19 05:28:36 GMT","35:01","2","16 : 6","won","Gerardo Sofovich","23","16","5","18","4","43%","39"
"Inferno","2020-09-19 05:28:36 GMT","35:01","2","16 : 6","won","pmky 'pmc","43","14","4","13","1","57%","33"
"Mirage","2020-09-19 05:00:52 GMT","23:14","2","1 : 16","lost","paper","35","9","3","16","0","77%","24"
"Mirage","2020-09-19 05:00:52 GMT","23:14","2","1 : 16","lost","Tablon James","31","8","2","17","0","37%","18"
"Mirage","2020-09-19 05:00:52 GMT","23:14","2","1 : 16","lost","9z_guisn98","26","6","0","17","1","16%","12"
"Mirage","2020-09-19 05:00:52 GMT","23:14","2","1 : 16","lost","Gerardo Sofovich","18","5","0","17","0","60%","12"
"Mirage","2020-09-19 05:00:52 GMT","23:14","2","1 : 16","lost","jma","47","5","1","16","0","20%","11"
"Inferno","2020-09-19 02:19:56 GMT","46:38","3","13 : 16","lost","[Z]elth","40","26","4","20","4","33%","60"
"Inferno","2020-09-19 02:19:56 GMT","46:38","3","13 : 16","lost","paper","34","18","8","19","1","16%","56"
