Map,Date,Duration,Friends,Score,Result,Player,Ping,Kills,Assists,Deaths,MVP,HSP,Player score
Inferno,26/09 00:51,53:13,4,15 : 15,won,mancomeister,32,43,4,19,5,37%,98
Inferno,26/09 00:51,53:13,4,15 : 15,won,Barbameister,29,26,9,23,5,38%,73
Inferno,26/09 00:51,53:13,4,15 : 15,won,Tablon James,21,15,4,22,3,37%,46
Inferno,26/09 00:51,53:13,4,15 : 15,won,MaxKent,31,17,4,25,2,5%,42
Inferno,26/09 00:51,53:13,4,15 : 15,won,Gerardo Sofovich,21,4,4,24,0,25%,13
Cache,21/09 23:14,49:40,3,16 : 14,won,mancomeister,31,42,3,17,8,11%,91
Cache,21/09 23:14,49:40,3,16 : 14,won,Izze - www.twitch.tv/izzelas,32,32,2,19,5,43%,69
Cache,21/09 23:14,49:40,3,16 : 14,won,Barbameister,34,15,13,22,1,26%,51
Cache,21/09 23:14,49:40,3,16 : 14,won,Houzen,36,12,7,20,0,58%,31
Cache,21/09 23:14,49:40,3,16 : 14,won,Tablon James,31,11,4,20,2,27%,28
Dust II,20/09 00:53,42:29,3,16 : 11,won,mancomeister,31,34,10,18,6,47%,80
Dust II,20/09 00:53,42:29,3,16 : 11,won,marian_pm,34,26,6,20,6,38%,71
Dust II,20/09 00:53,42:29,3,16 : 11,won,Tablon James,30,25,4,21,2,40%,62
Dust II,20/09 00:53,42:29,3,16 : 11,won,Gerardo Sofovich,18,9,5,20,1,55%,32
Dust II,20/09 00:53,42:29,3,16 : 11,won,Barbameister,31,13,3,22,1,28%,31
Inferno,19/09 23:55,48:02,3,16 : 11,won,mancomeister,34,39,4,14,7,28%,91
Inferno,19/09 23:55,48:02,3,16 : 11,won,Barbameister,31,20,8,14,5,35%,56
Inferno,19/09 23:55,48:02,3,16 : 11,won,Tablon James,31,22,4,14,4,22%,53
Inferno,19/09 23:55,48:02,3,16 : 11,won,marian_pm,34,12,6,16,0,33%,34
Inferno,19/09 23:55,48:02,3,16 : 11,won,Gerardo Sofovich,19,7,1,20,0,28%,21
